#  LAMBDA(A)    ALB(GAL)     EXT(GAL)     ALB(LMC)     EXT(LMC)     ALB(SMC)     EXT(SMC)
  5.00000E+00  4.67735E-01  1.82712E-02  4.36516E-01  2.19884E-02  4.16869E-01  2.84214E-02
  1.00000E+01  4.67735E-01  7.09392E-02  4.36516E-01  8.52625E-02  4.16869E-01  1.09547E-01
  1.50000E+01  4.67735E-01  1.52167E-01  4.36516E-01  1.82532E-01  4.16869E-01  2.32382E-01
  2.00000E+01  4.67735E-01  2.53934E-01  4.36516E-01  3.03860E-01  4.16869E-01  3.82494E-01
  2.50000E+01  4.67735E-01  3.67781E-01  4.36516E-01  4.38887E-01  4.16869E-01  5.45637E-01
  3.00000E+01  4.67735E-01  4.86185E-01  4.36516E-01  5.78539E-01  4.16869E-01  7.10183E-01
  3.50000E+01  4.67735E-01  6.03296E-01  4.36516E-01  7.15892E-01  4.16869E-01  8.68029E-01
  4.00000E+01  4.67735E-01  7.15090E-01  4.36516E-01  8.46298E-01  4.16869E-01  1.01437E+00
  4.50000E+01  4.67735E-01  8.19159E-01  4.36516E-01  9.67075E-01  4.16869E-01  1.14696E+00
  5.00000E+01  4.67735E-01  9.14336E-01  4.36516E-01  1.07702E+00  4.16869E-01  1.26528E+00
  5.50000E+01  4.67735E-01  1.00033E+00  4.36516E-01  1.17594E+00  4.16869E-01  1.36989E+00
  6.00000E+01  4.67735E-01  1.07739E+00  4.36516E-01  1.26427E+00  4.16869E-01  1.46187E+00
  6.50000E+01  4.67735E-01  1.14609E+00  4.36516E-01  1.34278E+00  4.16869E-01  1.54255E+00
  7.00000E+01  4.67735E-01  1.20717E+00  4.36516E-01  1.41238E+00  4.16869E-01  1.61328E+00
  7.50000E+01  4.67735E-01  1.26140E+00  4.36516E-01  1.47404E+00  4.16869E-01  1.67538E+00
  8.00000E+01  4.67735E-01  1.30953E+00  4.36516E-01  1.52870E+00  4.16869E-01  1.73002E+00
  8.50000E+01  4.67735E-01  1.35229E+00  4.36516E-01  1.57720E+00  4.16869E-01  1.77825E+00
  9.00000E+01  4.67735E-01  1.39033E+00  4.36516E-01  1.62033E+00  4.16869E-01  1.82100E+00
  9.50000E+01  4.67735E-01  1.42422E+00  4.36516E-01  1.65877E+00  4.16869E-01  1.85904E+00
  1.00000E+02  4.67735E-01  1.45449E+00  4.36516E-01  1.69314E+00  4.16869E-01  1.89308E+00
  1.05000E+02  4.67735E-01  1.48158E+00  4.36516E-01  1.72396E+00  4.16869E-01  1.92369E+00
  1.10000E+02  4.67735E-01  1.50588E+00  4.36516E-01  1.75169E+00  4.16869E-01  1.95139E+00
  1.15000E+02  4.67735E-01  1.52773E+00  4.36516E-01  1.77674E+00  4.16869E-01  1.97660E+00
  1.20000E+02  4.67735E-01  1.54743E+00  4.36516E-01  1.79945E+00  4.16869E-01  1.99969E+00
  1.25000E+02  4.67735E-01  1.56524E+00  4.36516E-01  1.82012E+00  4.16869E-01  2.02101E+00
  1.30000E+02  4.67735E-01  1.58137E+00  4.36516E-01  1.83903E+00  4.16869E-01  2.04082E+00
  1.35000E+02  4.67735E-01  1.59602E+00  4.36516E-01  1.85639E+00  4.16869E-01  2.05937E+00
  1.40000E+02  4.67735E-01  1.60935E+00  4.36516E-01  1.87241E+00  4.16869E-01  2.07689E+00
  1.45000E+02  4.67735E-01  1.62152E+00  4.36516E-01  1.88728E+00  4.16869E-01  2.09355E+00
  1.50000E+02  4.67735E-01  1.63266E+00  4.36516E-01  1.90114E+00  4.16869E-01  2.10954E+00
  1.55000E+02  4.67735E-01  1.64286E+00  4.36516E-01  1.91415E+00  4.16869E-01  2.12500E+00
  1.60000E+02  4.67735E-01  1.65224E+00  4.36516E-01  1.92641E+00  4.16869E-01  2.14007E+00
  1.65000E+02  4.67735E-01  1.66088E+00  4.36516E-01  1.93806E+00  4.16869E-01  2.15488E+00
  1.70000E+02  4.67735E-01  1.66885E+00  4.36516E-01  1.94918E+00  4.16869E-01  2.16954E+00
  1.75000E+02  4.67735E-01  1.67624E+00  4.36516E-01  1.95987E+00  4.16869E-01  2.18414E+00
  1.80000E+02  4.67735E-01  1.68308E+00  4.36516E-01  1.97022E+00  4.16869E-01  2.19879E+00
  1.85000E+02  4.67735E-01  1.68945E+00  4.36516E-01  1.98030E+00  4.16869E-01  2.21357E+00
  1.90000E+02  4.67735E-01  1.69539E+00  4.36516E-01  1.99018E+00  4.16869E-01  2.22857E+00
  1.95000E+02  4.67735E-01  1.70095E+00  4.36516E-01  1.99993E+00  4.16869E-01  2.24385E+00
  2.00000E+02  4.67735E-01  1.70616E+00  4.36516E-01  2.00961E+00  4.16869E-01  2.25949E+00
  2.05000E+02  4.67735E-01  1.71106E+00  4.36516E-01  2.01928E+00  4.16869E-01  2.27555E+00
  2.10000E+02  4.67735E-01  1.71568E+00  4.36516E-01  2.02899E+00  4.16869E-01  2.29210E+00
  2.15000E+02  4.67735E-01  1.72007E+00  4.36516E-01  2.03880E+00  4.16869E-01  2.30920E+00
  2.20000E+02  4.67735E-01  1.72423E+00  4.36516E-01  2.04874E+00  4.16869E-01  2.32690E+00
  2.25000E+02  4.67735E-01  1.72821E+00  4.36516E-01  2.05887E+00  4.16869E-01  2.34525E+00
  2.29000E+02  4.67735E-01  1.73128E+00  4.36516E-01  2.06715E+00  4.16869E-01  2.36043E+00
  2.34000E+02  4.67735E-01  1.73498E+00  4.36516E-01  2.07773E+00  4.16869E-01  2.38007E+00
  2.43000E+02  4.67735E-01  1.74136E+00  4.36516E-01  2.09758E+00  4.16869E-01  2.41742E+00
  2.52000E+02  4.67735E-01  1.74748E+00  4.36516E-01  2.11865E+00  4.16869E-01  2.45753E+00
  2.56000E+02  4.67735E-01  1.75015E+00  4.36516E-01  2.12846E+00  4.16869E-01  2.47629E+00
  2.60000E+02  4.67735E-01  1.75280E+00  4.36516E-01  2.13857E+00  4.16869E-01  2.49566E+00
  2.66000E+02  4.67735E-01  1.75676E+00  4.36516E-01  2.15434E+00  4.16869E-01  2.52586E+00
  2.75000E+02  4.67735E-01  1.76274E+00  4.36516E-01  2.17945E+00  4.16869E-01  2.57386E+00
  2.83000E+02  4.67735E-01  1.76818E+00  4.36516E-01  2.20335E+00  4.16869E-01  2.61932E+00
  2.93000E+02  4.67735E-01  1.77528E+00  4.36516E-01  2.23552E+00  4.16869E-01  2.67996E+00
  3.01000E+02  4.67735E-01  1.78129E+00  4.36516E-01  2.26319E+00  4.16869E-01  2.73157E+00
  3.09000E+02  4.63438E-01  1.78281E+00  4.31589E-01  2.39698E+00  4.14450E-01  2.94224E+00
  3.25000E+02  4.61060E-01  1.82560E+00  4.27693E-01  2.45660E+00  4.09756E-01  3.01680E+00
  3.42000E+02  4.58671E-01  1.86986E+00  4.23794E-01  2.51832E+00  4.05069E-01  3.09401E+00
  3.51000E+02  4.57459E-01  1.89282E+00  4.21822E-01  2.55036E+00  4.02701E-01  3.13410E+00
  3.56000E+02  4.56800E-01  1.90544E+00  4.20751E-01  2.56797E+00  4.01418E-01  3.15615E+00
  3.65000E+02  4.55639E-01  1.92792E+00  4.18869E-01  2.59936E+00  3.99163E-01  3.19545E+00
  3.75000E+02  4.54386E-01  1.95256E+00  4.16840E-01  2.63378E+00  3.96736E-01  3.23855E+00
  3.84000E+02  4.53289E-01  1.97443E+00  4.15069E-01  2.66435E+00  3.94619E-01  3.27685E+00
  4.00000E+02  4.51408E-01  2.01266E+00  4.12036E-01  2.71781E+00  3.91000E-01  3.34383E+00
  4.15000E+02  4.50012E-01  2.07917E+00  4.10746E-01  2.79670E+00  3.89637E-01  3.43359E+00
  4.25000E+02  4.49112E-01  2.12335E+00  4.09913E-01  2.84894E+00  3.88757E-01  3.49293E+00
  4.45000E+02  4.47379E-01  2.21134E+00  4.08310E-01  2.95260E+00  3.87065E-01  3.61045E+00
  4.72000E+02  4.45168E-01  2.32941E+00  4.06266E-01  3.09092E+00  3.84907E-01  3.76677E+00
  4.94000E+02  4.43465E-01  2.42503E+00  4.04692E-01  3.20232E+00  3.83247E-01  3.89230E+00
  5.06000E+02  4.41715E-01  2.48025E+00  4.03232E-01  3.26721E+00  3.81868E-01  3.96584E+00
  5.16000E+02  4.36052E-01  2.54297E+00  3.98905E-01  3.34451E+00  3.78235E-01  4.05606E+00
  5.40000E+02  4.23176E-01  2.69486E+00  3.89032E-01  3.53122E+00  3.69926E-01  4.27364E+00
  5.64000E+02  4.11216E-01  2.84863E+00  3.79817E-01  3.71956E+00  3.62150E-01  4.49266E+00
  5.87000E+02  4.00521E-01  2.99769E+00  3.71540E-01  3.90152E+00  3.55147E-01  4.70387E+00
  6.12000E+02  3.91604E-01  3.16861E+00  3.65043E-01  4.08433E+00  3.49818E-01  4.89632E+00
  6.40000E+02  3.84524E-01  3.37170E+00  3.60480E-01  4.26941E+00  3.46345E-01  5.06418E+00
  6.71000E+02  3.77178E-01  3.60060E+00  3.55719E-01  4.47423E+00  3.42710E-01  5.24792E+00
  7.05000E+02  3.70121E-01  3.82255E+00  3.51120E-01  4.66260E+00  3.39202E-01  5.40821E+00
  7.36000E+02  3.66489E-01  3.84714E+00  3.48758E-01  4.64351E+00  3.37459E-01  5.34980E+00
  7.70000E+02  3.62716E-01  3.87310E+00  3.46296E-01  4.62355E+00  3.35640E-01  5.28918E+00
  8.10000E+02  3.59427E-01  3.87354E+00  3.44101E-01  4.58741E+00  3.34006E-01  5.22111E+00
  8.50000E+02  3.58943E-01  3.79059E+00  3.43617E-01  4.51316E+00  3.33611E-01  5.15451E+00
  8.90000E+02  3.58481E-01  3.71310E+00  3.43156E-01  4.44346E+00  3.33235E-01  5.09177E+00
  9.20000E+02  3.60290E-01  3.65169E+00  3.44551E-01  4.39049E+00  3.34445E-01  5.04629E+00
  9.40000E+02  3.65400E-01  3.60069E+00  3.48623E-01  4.35039E+00  3.37942E-01  5.01571E+00
  9.62000E+02  3.70978E-01  3.54662E+00  3.53056E-01  4.30767E+00  3.41746E-01  4.98302E+00
  9.87000E+02  3.77264E-01  3.48762E+00  3.58039E-01  4.26077E+00  3.46014E-01  4.94702E+00
  1.01200E+03  3.83332E-01  3.39572E+00  3.62909E-01  4.17872E+00  3.50285E-01  4.87354E+00
  1.03700E+03  3.89170E-01  3.27197E+00  3.67665E-01  4.06186E+00  3.54568E-01  4.76248E+00
  1.06200E+03  3.94955E-01  3.15551E+00  3.72368E-01  3.95095E+00  3.58798E-01  4.65650E+00
  1.08700E+03  4.00688E-01  3.04577E+00  3.77020E-01  3.84554E+00  3.62979E-01  4.55527E+00
  1.11200E+03  4.04649E-01  2.94511E+00  3.80438E-01  3.75131E+00  3.66261E-01  4.46674E+00
  1.12000E+03  4.05311E-01  2.91506E+00  3.81113E-01  3.72416E+00  3.67008E-01  4.44204E+00
  1.14000E+03  4.06950E-01  2.84217E+00  3.82784E-01  3.65799E+00  3.68857E-01  4.38162E+00
  1.16000E+03  4.08567E-01  2.77232E+00  3.84434E-01  3.59410E+00  3.70684E-01  4.32305E+00
  1.18000E+03  4.10163E-01  2.70534E+00  3.86062E-01  3.53240E+00  3.72488E-01  4.26625E+00
  1.20000E+03  4.11738E-01  2.64107E+00  3.87670E-01  3.47277E+00  3.74270E-01  4.21112E+00
  1.22000E+03  4.14065E-01  2.57638E+00  3.89779E-01  3.40902E+00  3.76387E-01  4.14794E+00
  1.24000E+03  4.16368E-01  2.51429E+00  3.91865E-01  3.34744E+00  3.78481E-01  4.08671E+00
  1.26000E+03  4.18646E-01  2.45465E+00  3.93929E-01  3.28794E+00  3.80554E-01  4.02734E+00
  1.28000E+03  4.20901E-01  2.39734E+00  3.95971E-01  3.23041E+00  3.82604E-01  3.96974E+00
  1.30000E+03  4.23132E-01  2.34222E+00  3.97992E-01  3.17475E+00  3.84634E-01  3.91385E+00
  1.32000E+03  4.19881E-01  2.30077E+00  3.96274E-01  3.14076E+00  3.83824E-01  3.88618E+00
  1.34000E+03  4.16703E-01  2.26067E+00  3.94590E-01  3.10764E+00  3.83029E-01  3.85912E+00
  1.36000E+03  4.13595E-01  2.22184E+00  3.92937E-01  3.07535E+00  3.82246E-01  3.83265E+00
  1.38000E+03  4.10556E-01  2.18424E+00  3.91315E-01  3.04386E+00  3.81477E-01  3.80673E+00
  1.40000E+03  4.07582E-01  2.14780E+00  3.89724E-01  3.01314E+00  3.80720E-01  3.78137E+00
  1.42000E+03  4.10242E-01  2.12089E+00  3.98694E-01  2.99341E+00  3.92658E-01  3.76782E+00
  1.44000E+03  4.12882E-01  2.09469E+00  4.07741E-01  2.97409E+00  4.04795E-01  3.75450E+00
  1.46000E+03  4.15502E-01  2.06918E+00  4.16864E-01  2.95515E+00  4.17132E-01  3.74142E+00
  1.48000E+03  4.18102E-01  2.04431E+00  4.26063E-01  2.93659E+00  4.29669E-01  3.72855E+00
  1.50000E+03  4.20684E-01  2.02007E+00  4.35338E-01  2.91839E+00  4.42408E-01  3.71590E+00
  1.52000E+03  4.24805E-01  1.98463E+00  4.46317E-01  2.85491E+00  4.56709E-01  3.62742E+00
  1.54000E+03  4.28912E-01  1.95026E+00  4.57425E-01  2.79360E+00  4.71276E-01  3.54217E+00
  1.56000E+03  4.33005E-01  1.91693E+00  4.68660E-01  2.73438E+00  4.86111E-01  3.45997E+00
  1.58000E+03  4.37085E-01  1.88457E+00  4.80022E-01  2.67715E+00  5.01214E-01  3.38070E+00
  1.60000E+03  4.41150E-01  1.85316E+00  4.91512E-01  2.62181E+00  5.16589E-01  3.30420E+00
  1.62000E+03  4.43681E-01  1.83703E+00  4.99595E-01  2.57044E+00  5.27999E-01  3.22094E+00
  1.64000E+03  4.46196E-01  1.82124E+00  5.07709E-01  2.52068E+00  5.39516E-01  3.14076E+00
  1.66000E+03  4.48694E-01  1.80577E+00  5.15855E-01  2.47247E+00  5.51140E-01  3.06351E+00
  1.68000E+03  4.51175E-01  1.79062E+00  5.24031E-01  2.42575E+00  5.62871E-01  2.98906E+00
  1.70000E+03  4.53641E-01  1.77577E+00  5.32237E-01  2.38044E+00  5.74709E-01  2.91726E+00
  1.72000E+03  4.57800E-01  1.78002E+00  5.42492E-01  2.35264E+00  5.89459E-01  2.86001E+00
  1.74000E+03  4.61948E-01  1.78424E+00  5.52823E-01  2.32547E+00  6.04411E-01  2.80453E+00
  1.76000E+03  4.66086E-01  1.78841E+00  5.63229E-01  2.29892E+00  6.19565E-01  2.75074E+00
  1.78000E+03  4.70214E-01  1.79255E+00  5.73709E-01  2.27298E+00  6.34922E-01  2.69857E+00
  1.80000E+03  4.74331E-01  1.79666E+00  5.84265E-01  2.24761E+00  6.50480E-01  2.64796E+00
  1.82000E+03  4.77044E-01  1.82710E+00  5.93137E-01  2.25853E+00  6.64602E-01  2.64081E+00
  1.84000E+03  4.79743E-01  1.85771E+00  6.02044E-01  2.26939E+00  6.78872E-01  2.63375E+00
  1.86000E+03  4.82428E-01  1.88850E+00  6.10987E-01  2.28018E+00  6.93288E-01  2.62679E+00
  1.88000E+03  4.85099E-01  1.91946E+00  6.19965E-01  2.29091E+00  7.07852E-01  2.61993E+00
  1.90000E+03  4.87755E-01  1.95060E+00  6.28977E-01  2.30157E+00  7.22562E-01  2.61315E+00
  1.92000E+03  4.86330E-01  1.99425E+00  6.33065E-01  2.32255E+00  7.32720E-01  2.61298E+00
  1.94000E+03  4.84924E-01  2.03841E+00  6.37136E-01  2.34349E+00  7.42914E-01  2.61281E+00
  1.96000E+03  4.83536E-01  2.08308E+00  6.41191E-01  2.36441E+00  7.53143E-01  2.61264E+00
  1.98000E+03  4.82166E-01  2.12826E+00  6.45230E-01  2.38530E+00  7.63407E-01  2.61247E+00
  2.00000E+03  4.80813E-01  2.17396E+00  6.49254E-01  2.40617E+00  7.73705E-01  2.61231E+00
  2.00250E+03  4.80453E-01  2.17829E+00  6.49323E-01  2.40641E+00  7.74563E-01  2.60868E+00
  2.00500E+03  4.80093E-01  2.18262E+00  6.49392E-01  2.40665E+00  7.75421E-01  2.60506E+00
  2.00750E+03  4.79734E-01  2.18696E+00  6.49461E-01  2.40689E+00  7.76280E-01  2.60144E+00
  2.01000E+03  4.79376E-01  2.19130E+00  6.49530E-01  2.40713E+00  7.77138E-01  2.59784E+00
  2.01250E+03  4.79018E-01  2.19564E+00  6.49598E-01  2.40737E+00  7.77996E-01  2.59425E+00
  2.01500E+03  4.78661E-01  2.19999E+00  6.49667E-01  2.40761E+00  7.78853E-01  2.59066E+00
  2.01750E+03  4.78305E-01  2.20433E+00  6.49736E-01  2.40785E+00  7.79711E-01  2.58709E+00
  2.02000E+03  4.77949E-01  2.20869E+00  6.49804E-01  2.40809E+00  7.80569E-01  2.58353E+00
  2.02250E+03  4.77594E-01  2.21304E+00  6.49872E-01  2.40833E+00  7.81426E-01  2.57997E+00
  2.02500E+03  4.77240E-01  2.21740E+00  6.49941E-01  2.40857E+00  7.82283E-01  2.57642E+00
  2.02750E+03  4.76887E-01  2.22176E+00  6.50009E-01  2.40881E+00  7.83141E-01  2.57289E+00
  2.03000E+03  4.76534E-01  2.22613E+00  6.50077E-01  2.40904E+00  7.83998E-01  2.56936E+00
  2.03250E+03  4.76182E-01  2.23050E+00  6.50145E-01  2.40928E+00  7.84855E-01  2.56584E+00
  2.03500E+03  4.75831E-01  2.23487E+00  6.50213E-01  2.40952E+00  7.85711E-01  2.56233E+00
  2.03750E+03  4.75480E-01  2.23924E+00  6.50281E-01  2.40976E+00  7.86568E-01  2.55883E+00
  2.04000E+03  4.75130E-01  2.24362E+00  6.50349E-01  2.40999E+00  7.87425E-01  2.55534E+00
